date,close,volume,open,high,low
2018/05/18,186.99,17294029,188,188.91,186.36
2018/05/17,186.99,17014490,188,188.91,186.36
2018/05/16,188.18,19046600,186.07,188.46,186
2018/05/15,186.44,23639070,186.78,187.07,185.1
2018/05/14,188.15,20393070,189.01,189.53,187.86
2018/05/11,188.59,26167950,189.49,190.06,187.45
2018/05/10,190.04,27942430,187.74,190.37,187.65
2018/05/09,187.36,23141260,186.55,187.4,185.22
2018/05/08,186.05,28053230,184.99,186.22,183.665
2018/05/07,185.16,42557530,185.18,187.67,184.75
2018/05/04,183.83,56137230,178.25,184.25,178.17
2018/05/03,176.89,33944110,175.88,177.5,174.4411
2018/05/02,176.57,66454720,175.225,177.75,173.8
2018/05/01,169.1,52228910,166.41,169.2,165.27
2018/04/30,165.26,41976500,162.13,167.26,161.84
2018/04/27,162.32,35617230,164,164.33,160.63
2018/04/26,164.22,27850370,164.12,165.73,163.37
2018/04/25,163.65,28331540,162.62,165.42,162.41
2018/04/24,162.94,33674960,165.67,166.33,161.2201
2018/04/23,165.24,36396590,166.835,166.92,164.09
2018/04/20,165.72,65270950,170.595,171.2184,165.43
2018/04/19,172.8,34693280,174.95,175.39,172.66
2018/04/18,177.84,20544600,177.81,178.82,176.88
2018/04/17,178.24,26575010,176.49,178.9365,176.41
